이미지링크,배송명,브랜드,상품명,할인율,할인전 가격,할인후 가격,구매개수,카테고리
https://image.brandi.me/cproduct/2022/03/22/SB000000000056651553_1647951000_image1_S.jpeg,하루배송,버튼나인,(슬림여리핏) 와이드 라운드 크롭 반팔티(4color)_버튼나인,5%,"14,060원","14,800원",22개 구매중,상의
https://image.brandi.me/cproduct/2022/03/18/SB000000000056314442_1647590494_image1_S.jpeg,하루배송,피치모어,[봄신상/컬러예쁨] 파스텔 무지 오버핏 포인트 포켓 셔츠_피치모어,10%,"19,530원","21,700원",13개 구매중,상의
https://image.brandi.me/cproduct/2022/03/10/SB000000000055240484_1646907116_image1_S.jpeg,하루배송,에이치다x하루배송,더블 버튼 랩 니트 가디건 5color_에이치다_2,10%,"24,930원","27,700원",77개 구매중,상의
https://image.brandi.me/cproduct/2022/02/28/SB000000000054286020_1646025764_image1_S.jpeg,하루배송,몽그라미x하루배송,(7col) 봄 바스락 박시 오버 컬러셔츠_몽그라미​​​​​​​_2,10%,"24,930원","27,700원",13개 구매중,상의
https://image.brandi.me/cproduct/2022/02/24/SB000000000054055683_1645702926_image1_S.jpeg,하루배송,쏠트베이비,(힙해!) 소매 트임 쫀쫀 라운드넥 긴팔 크롭티_쏠트베이비,10%,"13,320원","14,800원",14개 구매중,상의
https://image.brandi.me/cproduct/2022/02/17/SB000000000053296388_1645092729_image1_S.jpeg,하루배송,글로인,[2COLOR] 데이지 버튼오프 슬림 BL _글로인,10%,"37,260원","41,400원",16개 구매중,상의
https://image.brandi.me/cproduct/2022/02/15/SB000000000052964768_1644915825_image1_S.jpeg,하루배송,유이아,UNISEX 빈티지 뉴햄셔 레터링 오버핏 맨투맨 3COLOR_유이아,10%,"31,950원","35,500원",176개 구매중,상의
https://image.brandi.me/cproduct/2022/01/14/SB000000000050250159_1642161961_image1_S.jpeg,하루배송,디어투데이,홀터 top 2컬러_디어투데이,10%,"16,020원","17,800원",16개 구매중,상의
https://image.brandi.me/cproduct/2021/09/07/SB000000000038425696_1630995705_image1_S.jpeg,하루배송,얼그레이,[힙가려요] 슬라브 오버핏 롱 티셔츠_얼그레이,10%,"19,530원","21,700원",14개 구매중,상의
https://image.brandi.me/cproduct/2021/09/01/SB000000000037961319_1630517288_image1_S.jpeg,하루배송,바바지니,[2배말라보이는핏!/핏대박] 골지 스퀘어넥 단추 긴팔 가디건_바바지니,8%,"27,230원","29,600원",17개 구매중,상의
https://image.brandi.me/cproduct/2021/08/24/SB000000000036887364_1629784502_image1_S.jpeg,하루배송,이퓨x하루배송,뮤즈 베이직 코튼 셔츠 - 6color_이퓨_2,10%,"21,330원","23,700원",385개 구매중,상의
https://image.brandi.me/cproduct/2021/08/05/SB000000000035556732_1628174542_image1_S.jpeg,하루배송,더라이브,[4col] 모델소장! 강추 펀칭 라운드니트 반팔니트 퍼프 니트 _ 더라이브,10%,"22,140원","24,600원",11개 구매중,상의
https://image.brandi.me/cproduct/2021/07/05/SB000000000032898659_1625475090_image1_S.jpeg,하루배송,러브모노,[3col] 왕퍼프 스트링 프릴 반팔 블라우스 _ 러브모노,10%,"31,950원","35,500원",157개 구매중,상의
https://image.brandi.me/cproduct/2021/06/28/SB000000000032178902_1624908679_image1_S.jpeg,하루배송,친구옷장,샌드 퍼프 코튼 반팔 셔츠 남방 블라우스 / 5 colors_친구옷장,7%,"20,180원","21,700원",56개 구매중,상의
