이미지링크,배송명,브랜드,상품명,할인율,할인전 가격,할인후 가격,구매개수,카테고리
https://image.brandi.me/cproduct/2021/02/17/SB000000000020748653_1613541509_image1_S.jpeg,하루배송,코튼로그,소장가치! 앞트임 흑청 데님 롱 스커트_코튼로그,10%,"33,660원","37,400원",609개 구매중,스커트
https://image.brandi.me/cproduct/2022/03/26/SB000000000057241240_1648286957_image1_S.jpeg,하루배송,브링잇,"[살랑거리는, 머메이드핏] 패턴 뒷밴딩 롱스커트 _브링잇",10%,"28,440원","31,600원",145개 구매중,스커트
https://image.brandi.me/cproduct/2022/05/11/SB000000000061834345_1652252780_image1_S.jpeg,하루배송,라프랑,[바스락/4COL] 써머 플리츠 코튼 데일리 뒷밴딩 롱 스커트_라프랑,10%,"31,950원","35,500원",27개 구매중,스커트
https://image.brandi.me/cproduct/2022/03/03/SB000000000054602232_1646306857_image1_S.jpeg,하루배송,너미샵,[모던/뒷밴딩] 앞 트임 아노락 롱 스커트 2colors_너미샵,10%,"26,640원","29,600원",31개 구매중,스커트
https://image.brandi.me/cproduct/2021/04/21/SB000000000025985430_1619029573_image1_S.jpeg,하루배송,투홀릭,(핏보장/모델강추) 트임 A라인 치마바지 3color_투홀릭,10%,"28,440원","31,600원",183개 구매중,스커트
https://image.brandi.me/cproduct/2021/02/11/SB000000000020554004_1613046730_image1_S.jpeg,하루배송,블리즈,[봄 소장필수!] 살랑 플리츠 주름 롱스커트_블리즈,10%,"19,530원","21,700원","1,120개 구매중",스커트
https://image.brandi.me/cproduct/2021/01/23/SB000000000019385165_1611408897_image1_S.jpeg,하루배송,321g,[하이웨스트] 데일리 기본 미니 스커트 (5color)_321g,6%,"17,580원","18,700원","1,792개 구매중",스커트
https://image.brandi.me/cproduct/2022/04/29/SB000000000060657196_1651209265_image1_S.jpeg,하루배송,피치모어,[속바지안감] 코튼 밑단 프릴 튤립 스판 치마 미니스커트_피치모어,10%,"19,530원","21,700원",29개 구매중,스커트
https://image.brandi.me/cproduct/2022/03/04/SB000000000054706738_1646383093_image1_S.jpeg,하루배송,믹스비x하루배송,힙 하프 플리츠 치마바지(3color)_믹스비_2,9%,"32,310원","35,500원",58개 구매중,스커트
https://image.brandi.me/cproduct/2022/03/18/SB000000000056324908_1647592584_image1_S.jpeg,하루배송,엘라부x하루배송,[S-2XL]*그레이시한색감*빅사이즈 면 롱 데님 옆트임 군살커버 청스커트_엘라부_2,8%,"27,230원","29,600원",32개 구매중,스커트
https://image.brandi.me/cproduct/2021/04/08/SB000000000024768011_1617924386_image1_S.jpeg,하루배송,인더모어,"[벨트포함,2col]하프 테니스 스커트_인더모어",10%,"19,530원","21,700원","1,130개 구매중",스커트
https://image.brandi.me/cproduct/2022/05/10/SB000000000061757594_1652193590_image1_S.jpeg,하루배송,모디스트,미우 벨트 플리츠 핀탁 미니 스커트_모디스트,7%,"20,180원","21,700원",39개 구매중,스커트
https://image.brandi.me/cproduct/2022/05/03/SB000000000061095823_1651566002_image1_S.jpeg,하루배송,프렌치오브,(5color)리브드 여름 코튼 핀턱 롱 치마 스커트_프렌치오브,10%,"37,260원","41,400원",34개 구매중,스커트
https://image.brandi.me/cproduct/2022/03/19/SB000000000056389477_1647699633_image1_S.jpeg,하루배송,유니크온,메를린 플리츠 미니스커트 A라인플레어SK_유니크온,10%,"33,660원","37,400원",13개 구매중,스커트
https://image.brandi.me/cproduct/2021/07/02/SB000000000032761820_1625221057_image1_S.jpeg,하루배송,복플레이스,[2Color/데일리핏!!]﻿2버튼 데일리 여친정석 청순한 깔끔 데님 스커트_복플레이스,10%,"21,330원","23,700원",162개 구매중,스커트
https://image.brandi.me/cproduct/2022/05/09/SB000000000061600869_1652091399_image1_S.jpeg,하루배송,치치룸,[유니크/2COL]하이틴 키치 사이드 리본 끈 H라인 미니스커트_치치룸,10%,"23,130원","25,700원",24개 구매중,스커트
https://image.brandi.me/cproduct/2020/06/04/17108630_1591270901_image1_M.jpg,하루배송,쏠트베이비,(가격실화) 여름 필수 뒷밴딩 린넨 미니 스커트_쏠트베이비,10%,"13,320원","14,800원",84개 구매중,스커트
https://image.brandi.me/cproduct/2022/01/21/SB000000000050927371_1642789341_image1_S.jpeg,하루배송,데이지멜로우,"[ 국내, 너무예쁨] 미니캉캉 스커트 치마바지_데이지멜로우",8%,"23,640원","25,700원",75개 구매중,스커트
https://image.brandi.me/cproduct/2022/04/28/SB000000000060737242_1651182962_image1_S.jpeg,하루배송,코브리조x하루배송,[뒷밴딩] A라인 리본 롱스커트 4colors 하이웨스트 밴딩 면 100% 핀턱 여름 플리츠 주름 치마_코브리조_2,10%,"35,460원","39,400원",31개 구매중,스커트
https://image.brandi.me/cproduct/2021/06/08/SB000000000030333738_1623140154_image1_S.jpeg,하루배송,리즈데이즈,여름 데일리 에스닉 페이즐리 롱 랩 스커트_리즈데이즈,7%,"20,180원","21,700원",54개 구매중,스커트
https://image.brandi.me/cproduct/2022/05/24/SB000000000063126867_1653421211_image1_S.jpeg,하루배송,미닛마켓,[S-M/안감o] 허리 끈 허리언발 미니스커트 (2color) _미닛마켓,10%,"23,130원","25,700원",17개 구매중,스커트
https://image.brandi.me/cproduct/2022/02/16/SB000000000053167362_1644992835_image1_S.jpeg,하루배송,헤이로지즈,[탄탄/기본템] 기본 A라인 블랙 데님 스커트 _헤이로지즈,10%,"33,660원","37,400원",47개 구매중,스커트
https://image.brandi.me/cproduct/2021/08/24/SB000000000037056938_1629817432_image1_S.jpeg,하루배송,더모닌,[셋업가능] 아크 롱 스커트 (3color)_더모닌,10%,"24,930원","27,700원","1,020개 구매중",스커트
https://image.brandi.me/cproduct/2020/03/10/14403418_1583801514_image1_M.jpg,하루배송,데일리북,[기획] 밴딩 H라인 뒷트임sk (5color)_데일리북,10%,"13,320원","14,800원","5,956개 구매중",스커트
https://image.brandi.me/cproduct/2022/01/24/SB000000000051128752_1643047083_image1_S.jpeg,하루배송,라블랑,[봄느낌청순핏/5col] 파스텔 A라인 플레어 뒷밴딩 롱 스커트 _라블랑,8%,"25,480원","27,700원",209개 구매중,스커트
https://image.brandi.me/cproduct/2021/12/01/SB000000000046417425_1638350347_image1_S.jpeg,하루배송,블루로제,[6 colors] 기본 테니스 스커트_블루로제,7%,"22,040원","23,700원",44개 구매중,스커트
https://image.brandi.me/cproduct/2021/10/22/SB000000000042157105_1634876888_image1_S.jpeg,하루배송,코튼로그,[쿠폰]레더 H라인 미니 스커트_코튼로그,10%,"17,730원","19,700원","4,014개 구매중",스커트
https://image.brandi.me/cproduct/2022/05/13/SB000000000062141736_1652462616_image1_S.jpeg,하루배송,해리데이,(2col)유어 핀턱 A라인 청 데님 미니스커트 화이트 숏치마 하이웨스트 데일리 면치마_해리데이,10%,"31,950원","35,500원",11개 구매중,스커트
https://image.brandi.me/cproduct/2022/01/05/SB000000000048928996_1641387621_image1_S.jpeg,하루배송,푸른달스튜디오,[개인소장/강력추천] 흑청 디스트로이드 컷팅 미니 데님 스커트 _푸른달스튜디오,9%,"30,580원","33,600원",147개 구매중,스커트
https://image.brandi.me/cproduct/2021/07/19/SB000000000034115665_1626687318_image1_S.jpeg,하루배송,302호,베이직 린넨 앞옆트임롱스커트_302호,10%,"26,640원","29,600원",31개 구매중,스커트
https://image.brandi.me/cproduct/2022/03/07/SB000000000054929787_1646667864_image1_S.jpeg,하루배송,복플레이스,2Col[딱예쁜핏!/허리쏙~]﻿2버튼 워싱 A라인과 H라인 사이 데님 스커트_복플레이스,10%,"23,130원","25,700원",48개 구매중,스커트
https://image.brandi.me/cproduct/2022/02/22/SB000000000053788890_1645526442_image1_S.jpeg,하루배송,무드인슬로우,플레어 핀턱 코튼스커트 - 4color_무드인슬로우,9%,"30,580원","33,600원",235개 구매중,스커트
https://image.brandi.me/cproduct/2022/03/16/SB000000000055985844_1647400436_image1_S.jpeg,하루배송,유어모어x하루배송,"[속바지내장/3color/S,M]셔링 하이웨스트 튤립 H라인 미니스커트_유어모어_2",8%,"25,480원","27,700원",23개 구매중,스커트
