이미지링크,배송명,브랜드,상품명,할인율,할인전 가격,할인후 가격,구매개수,카테고리
https://image.brandi.me/cproduct/2021/11/09/SB000000000043618001_1636435237_image1_S.jpeg,하루배송,버튼나인,(국내생산/힙한와이드핏) 촤르르 벨벳 와이드 밴딩 롱팬츠(2color)_버튼나인,8%,"27,230원","29,600원","1,286개 구매중",바지
https://image.brandi.me/cproduct/2021/10/22/SB000000000042321374_1634924633_image1_S.jpeg,하루배송,미닛마켓,[일자/조거] 기모 스트링 데일리 트레이닝 팬츠 (3color) _미닛마켓,10%,"30,240원","33,600원","1,624개 구매중",바지
https://image.brandi.me/cproduct/2021/10/21/SB000000000042053236_1634795187_image1_S.jpeg,하루배송,더핑크샵x하루배송,[핏대박!/하이웨스트] 조디 빈티지 워싱 롱 부츠컷 데님 팬츠_더핑크샵_2,10%,"30,240원","33,600원",497개 구매중,바지
https://image.brandi.me/cproduct/2021/10/20/SB000000000042016227_1634739936_image1_S.jpeg,하루배송,바이영,(양면기모 핏예술) 스판좋은 부드러운촉감 겨울 부츠컷 슬랙스_바이영,10%,"30,240원","33,600원","1,886개 구매중",바지
https://image.brandi.me/cproduct/2021/10/18/SB000000000041742671_1634569132_image1_S.jpeg,하루배송,릴리움,*하체커버*[사계절팬츠/모델강추!]면 프릴 히든밴딩 하이웨스트 보이핏 데님 사계절 면팬츠_릴리움,9%,"39,490원","43,400원",22개 구매중,바지
https://image.brandi.me/cproduct/2021/10/16/SB000000000038675647_1634389708_image1_S.jpeg,하루배송,로그인,[MADE] 허리들뜸X 하이웨스트 롱 부츠컷 데님팬츠 (3 color) _로그인,9%,"35,850원","39,400원",145개 구매중,바지
https://image.brandi.me/cproduct/2021/08/19/SB000000000036537344_1629367065_image1_S.jpeg,하루배송,부기샵,[ 색감대박/기장선택추가!! ] 애쉬 연청 하이웨스트 밑단 컷팅 슬림 일자팬츠 _ 부기샵,10%,"30,240원","33,600원",148개 구매중,바지
https://image.brandi.me/cproduct/2021/06/21/SB000000000031434110_1624264414_image1_S.jpeg,하루배송,인더모어,"[인생핏,6col]찰랑 부츠컷 슬랙스_인더모어",10%,"25,740원","28,600원",150개 구매중,바지
https://image.brandi.me/cproduct/2020/07/03/17924868_1593705653_image1_M.jpg,하루배송,미니클로젯,[키작녀추천] 데일리 베이직 하이웨스트 여름 데님 팬츠 _ 미니클로젯,9%,"35,850원","39,400원",90개 구매중,바지
https://image.brandi.me/cproduct/2020/07/02/17913866_1593678692_image1_M.jpg,하루배송,복플레이스,[귀욤/5Color]하이웨스트 리본 단추 스판 밴딩 트레이닝반바지_복플레이스,10%,"21,330원","23,700원",133개 구매중,바지
