이미지링크,배송명,브랜드,상품명,할인율,할인전 가격,할인후 가격,구매개수,카테고리
https://image.brandi.me/cproduct/2021/06/04/SB000000000029775694_1622796255_image1_S.jpeg,하루배송,버튼나인,[쿠폰](핵편한/쫀쫀핏) 영혼까지모아주는 캡내장 보정 브라 크롭 나시탑(4color)_버튼나인,5%,14060,14800,"10,650 ",상의
https://image.brandi.me/cproduct/2022/05/11/SB000000000061893896_1652284272_image1_S.jpeg,하루배송,몽그라미x하루배송,오픈 카라 골지 베이직 반팔 니트 (6color)_몽그라미​​​​​​​_2,10%,23130,25700,166 ,상의
https://image.brandi.me/cproduct/2022/06/17/SB000000000065370297_1655454618_image1_S.jpeg,하루배송,프렌치오브,릴리즈 비비드 카라 꽈배기 나시 여름 크롭 니트(6color)_프렌치오브,10%,17730,19700,207 ,상의
https://image.brandi.me/cproduct/2022/05/02/SB000000000060279365_1651482023_image1_S.jpeg,하루배송,앤드모어,"[쿠폰][페미닌무드/색감맛집] 예쁨보장, 스퀘어넥 퍼프 골지 반팔티셔츠 (7color)_앤드모어",10%,14220,15800,830 ,상의
https://image.brandi.me/cproduct/2022/05/15/SB000000000062189686_1652618295_image1_S.jpeg,하루배송,서링마켓,(3col) 러블리 빅카라 퍼프 루즈핏 반팔 블라우스_서링마켓,10%,24930,27700,667 ,상의
https://image.brandi.me/cproduct/2022/04/23/SB000000000060152235_1650728530_image1_S.jpeg,하루배송,슈가파우더,"[햇빛차단!] 한여름까지, 린넨 시스루 크롭 거즈셔츠,남방_슈가파우더",10%,19530,21700,"2,958 ",상의
https://image.brandi.me/cproduct/2021/04/27/SB000000000023831320_1619522088_image1_S.jpeg,하루배송,미닛마켓,프릴단 골지 브이넥 크롭 반팔 가디건 (6color) _미닛마켓,10%,19530,21700,"1,689 ",상의
https://image.brandi.me/cproduct/2022/04/19/SB000000000059755146_1650370314_image1_S.jpeg,하루배송,버튼나인,[쿠폰](말라보이는여유핏) 핀턱 반크롭 반팔티(6color)_버튼나인,6%,18520,19700,"1,634 ",상의
https://image.brandi.me/cproduct/2022/05/06/SB000000000061381199_1651810178_image1_S.jpeg,하루배송,코튼로그,[쿠폰]라오 카라 찰랑 오프숄더 반팔 블라우스_코튼로그,10%,19530,21700,748 ,상의
https://image.brandi.me/cproduct/2022/06/08/SB000000000064333616_1654680294_image1_S.jpeg,하루배송,에이치다x하루배송,(재진행) 바비 세미 퍼프 찌짐이 크롭 블라우스 4color_에이치다_2,10%,24930,27700,196 ,상의
https://image.brandi.me/cproduct/2022/04/15/SB000000000059491371_1650025463_image1_S.jpeg,하루배송,니드어린,링클 퍼프 반팔 블라우스(2color)_니드어린,10%,23130,25700,"1,451 ",상의
https://image.brandi.me/cproduct/2022/06/06/SB000000000064095178_1654533266_image1_S.jpeg,하루배송,앤드모어,"[청순무드/여리여리~] 은은한 컬러감, 부클 하찌 브이넥 반팔니트 (6color)_앤드모어",10%,19530,21700,316 ,상의
https://image.brandi.me/cproduct/2022/05/20/SB000000000062689428_1653032566_image1_S.jpeg,하루배송,프렌치오브,모에 여름 셔링 퍼프 크롭 반팔 블라우스(5color)_프렌치오브,10%,26640,29600,692 ,상의
https://image.brandi.me/cproduct/2022/05/17/SB000000000062391212_1652800954_image1_S.jpeg,하루배송,슈가파우더,[여름색감!] 마들렌 유넥 꽈배기 크롭 반팔니트_슈가파우더,10%,19530,21700,907 ,상의
https://image.brandi.me/cproduct/2022/04/13/SB000000000059167128_1649814981_image1_S.jpeg,하루배송,더핑크샵x하루배송,[여유핏/데일리룩] 퍼플 프린팅 크롭 반팔 티셔츠 (3color)_더핑크샵_2,10%,14220,15800,401 ,상의
https://image.brandi.me/cproduct/2022/05/10/SB000000000061684476_1652176275_image1_S.jpeg,하루배송,버튼나인,[쿠폰](말라보이는핏) 와이드 스퀘어넥 단가라 반팔티(3color)_버튼나인,6%,18520,19700,"1,236 ",상의
