이미지링크,배송명,브랜드,상품명,할인율,할인전 가격,할인후 가격,구매개수,카테고리
https://image.brandi.me/cproduct/2022/06/02/SB000000000063840904_1654157928_image1_S.jpeg,하루배송,스윗라떼x하루배송,[3set/재진행!!] 레이어드 나시 + 크롭반팔 + 와이드팬츠 트레이닝세트 3color_스윗라떼_2,10%,"37,260원","41,400원",240개 구매중,원피스
https://image.brandi.me/cproduct/2022/05/13/SB000000000062111634_1652430338_image1_S.jpeg,하루배송,302호,[쿠폰][사이즈조절가능/4color] 퍼프소매 셔링랩 롱원피스_302호,10%,"35,460원","39,400원",170개 구매중,원피스
https://image.brandi.me/cproduct/2022/05/26/SB000000000063299189_1653544304_image1_S.jpeg,하루배송,앤드모어,[은근섹시~/남심저격!] 쫀쫀 슬림핏 골지 카라 반팔 미니원피스 (6color)_앤드모어,10%,"19,530원","21,700원",368개 구매중,원피스
https://image.brandi.me/cproduct/2022/05/17/SB000000000062391116_1652809391_image1_S.jpeg,하루배송,데이지멜로우,"[ 누적5천장/반팔ver, 후기극찬] 카라 셔츠 핀턱 끈 반팔  롱원피스 데이트룩 _데이지멜로우",9%,"30,580원","33,600원",249개 구매중,원피스
https://image.brandi.me/cproduct/2022/05/26/SB000000000063256362_1653528229_image1_S.jpeg,하루배송,유이아,칸테 아일렛 퍼프 미니 원피스 (3COL)_유이아,10%,"28,440원","31,600원",75개 구매중,원피스
https://image.brandi.me/cproduct/2022/06/07/SB000000000064120548_1654575039_image1_S.jpeg,하루배송,유이아,핑퐁 플라워 스퀘어 프릴끈 미니 원피스 2COL_유이아,10%,"26,640원","29,600원",25개 구매중,원피스
https://image.brandi.me/cproduct/2021/06/23/SB000000000031699340_1624439017_image1_S.jpeg,하루배송,더블유비,[자켓+원피스set] 데이먼 린넨 반팔 숏 자켓+나시 미니 원피스 세트_더블유비,10%,"51,480원","57,200원",436개 구매중,원피스
https://image.brandi.me/cproduct/2022/04/12/SB000000000059153388_1649775186_image1_S.jpeg,하루배송,클루이가넷x하루배송,트위드 미니원피스 반팔 하객룩_클루이가넷_2,10%,"37,260원","41,400원",231개 구매중,원피스
https://image.brandi.me/cproduct/2022/04/04/SB000000000058231485_1649096221_image1_S.jpeg,하루배송,물결,[여리여리/은근데일리] 3color 플리츠 주름 나시 롱 원피스_물결,8%,"25,480원","27,700원",113개 구매중,원피스
https://image.brandi.me/cproduct/2020/06/23/17662220_1592917238_image1_M.jpg,하루배송,블리즈,[꾸안꾸룩] 박시핏 허리매듭 롱원피스_블리즈,10%,"21,330원","23,700원","11,541개 구매중",원피스
